ID,Name,Street,City,State,Zip,Address,latitude,longitude
0,A D R Financial Service,1260 Glenwood Ave Se,Atlanta,GA,30316,"1260 Glenwood Ave Se,Atlanta,GA,30316 ",33.7403172,-84.3460701
1,A Payday Advance,1260 Glenwood Ave Se,Atlanta,GA,30316,"1260 Glenwood Ave Se,Atlanta,GA,30316 ",33.7403172,-84.3460701
2,Abc Check Cashing Inc,3253 Buford Highway Northeast Suite 760,Atlanta,GA,30329,"3253 Buford Highway Northeast Suite 760,Atlanta,GA,30329 ",33.8412563,-84.3290047
3,Ace America's Cash Express,6635 Highway 85,Atlanta,GA,30303,"6635 Highway 85,Atlanta,GA,30303 ",33.7490944,-84.3858376
4,Ace America's Cash Express,863 Oak St Sw,Atlanta,GA,30310,"863 Oak St Sw,Atlanta,GA,30310 ",33.7409954,-84.4160766
5,Ace America's Cash Express,8763 Dunwoody Place,Atlanta,GA,30350,"8763 Dunwoody Place,Atlanta,GA,30350 ",33.9966266,-84.3494333
6,Ace America's Cash Express,5659 Riverdale Road,Atlanta,GA,30349,"5659 Riverdale Road,Atlanta,GA,30349 ",33.6005761,-84.4295712
7,"Ace America's Cash Express - Store Locations, Alpharetta",233 Peachtree Street Northeast,Atlanta,GA,30303,"233 Peachtree Street Northeast,Atlanta,GA,30303 ",33.7604599,-84.3870953
8,"Ace America's Cash Express - Store Locations, Atlanta",2841 Greenbriar Parkway Southwest,Atlanta,GA,30331,"2841 Greenbriar Parkway Southwest,Atlanta,GA,30331 ",33.6877868,-84.4934528
9,"Ace America's Cash Express - Store Locations, Atlanta",4058 Peachtree Road Northeast,Atlanta,GA,30319,"4058 Peachtree Road Northeast,Atlanta,GA,30319 ",33.8614009,-84.3399074
10,"Ace America's Cash Express - Store Locations, Atlanta",3714 Roswell Road Northeast,Atlanta,GA,30342,"3714 Roswell Road Northeast,Atlanta,GA,30342 ",33.8567894,-84.3824264
11,"Ace America's Cash Express - Store Locations, Atlanta",2581 Piedmont Road Northeast Suite A800,Atlanta,GA,30324,"2581 Piedmont Road Northeast Suite A800,Atlanta,GA,30324 ",33.8256045,-84.3645915
12,"Ace America's Cash Express - Store Locations, Atlanta",461 Ponce De Leon Avenue Northeast,Atlanta,GA,30308,"461 Ponce De Leon Avenue Northeast,Atlanta,GA,30308 ",33.7730187,-84.3718892
13,"Ace America's Cash Express - Store Locations, Atlanta",2261 Cheshire Bridge Road Northeast,Atlanta,GA,30324,"2261 Cheshire Bridge Road Northeast,Atlanta,GA,30324 ",33.8168803,-84.3517947
14,"Ace America's Cash Express - Store Locations, Atlanta",381 Moreland Avenue Southeast,Atlanta,GA,30316,"381 Moreland Avenue Southeast,Atlanta,GA,30316 ",33.743596,-84.3495651
15,"Ace America's Cash Express - Store Locations, Atlanta",495 Whitehall Street Southwest Suite C,Atlanta,GA,30303,"495 Whitehall Street Southwest Suite C,Atlanta,GA,30303 ",33.744082,-84.4038249
16,"Ace America's Cash Express - Store Locations, Atlanta",3583 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331,"3583 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331 ",33.7601668,-84.5042537
17,"Ace America's Cash Express - Store Locations, Atlanta",3583 Mlk B,Atlanta,GA,30303,"3583 Mlk B,Atlanta,GA,30303 ",33.7601668,-84.5042537
18,"Ace America's Cash Express - Store Locations, Chamblee",5513 Pechtre Indstrl Boulevard # B,Atlanta,GA,30341,"5513 Pechtre Indstrl Boulevard # B,Atlanta,GA,30341 ",33.9589225,-84.212795
19,"Ace America's Cash Express - Store Locations, College Park",5659 Riverdale Road,Atlanta,GA,30349,"5659 Riverdale Road,Atlanta,GA,30349 ",33.6005761,-84.4295712
20,"Ace America's Cash Express - Store Locations, College Park",5190 Old National Highway Suite A,Atlanta,GA,30349,"5190 Old National Highway Suite A,Atlanta,GA,30349 ",33.613906,-84.4719447
21,"Ace America's Cash Express - Store Locations, College Park",2798 Camp Creek Parkway,Atlanta,GA,30337,"2798 Camp Creek Parkway,Atlanta,GA,30337 ",33.6519038,-84.4839113
22,"Ace America's Cash Express - Store Locations, Decatur",4801 Memorial Drive,Atlanta,GA,30303,"4801 Memorial Drive,Atlanta,GA,30303 ",33.7470193,-84.2836817
23,"Ace America's Cash Express - Store Locations, Decatur",4065 Memorial Drive,Atlanta,GA,30303,"4065 Memorial Drive,Atlanta,GA,30303 ",33.766754,-84.2526544
24,"Ace America's Cash Express - Store Locations, Decatur",3570 Memorial Drive,Atlanta,GA,30303,"3570 Memorial Drive,Atlanta,GA,30303 ",33.7555753,-84.2681135
25,"Ace America's Cash Express - Store Locations, East Point",1618 Willingham Drive,Atlanta,GA,30344,"1618 Willingham Drive,Atlanta,GA,30344 ",33.6695677,-84.4419576
26,"Ace America's Cash Express - Store Locations, Forest Park",4703 Jonesboro Road,Atlanta,GA,30303,"4703 Jonesboro Road,Atlanta,GA,30303 ",33.6250018,-84.3557676
27,"Ace America's Cash Express - Store Locations, Lithia Springs",904 Thornton Road,Atlanta,GA,30303,"904 Thornton Road,Atlanta,GA,30303 ",33.7797973,-84.6065441
28,"Ace America's Cash Express - Store Locations, Marietta",277 Marietta Street Northwest # A,Atlanta,GA,30313,"277 Marietta Street Northwest # A,Atlanta,GA,30313 ",33.7612266,-84.3959085
29,"Ace America's Cash Express - Store Locations, Riverdale",6635 Highway 85,Atlanta,GA,30303,"6635 Highway 85,Atlanta,GA,30303 ",33.7490944,-84.3858376
30,"Ace America's Cash Express - Store Locations, Riverdale",7512 Georgia Highway 85,Atlanta,GA,30303,"7512 Georgia Highway 85,Atlanta,GA,30303 ",33.5499537,-84.4141569
31,"Ace America's Cash Express - Store Locations, Smyrna",2697 Spring Road,Atlanta,GA,30303,"2697 Spring Road,Atlanta,GA,30303 ",33.8843565,-84.4752456
32,"Ace America's Cash Express - Store Locations, Smyrna",1030-3 Windy Hill Road,Atlanta,GA,30303,"1030-3 Windy Hill Road,Atlanta,GA,30303 ",33.8990191,-84.457955
33,ACE AMERICAS CASH EXPRESS,3714 Roswell Rd Ne,Atlanta,GA,30342,"3714 Roswell Rd Ne,Atlanta,GA,30342 ",33.8567894,-84.3824264
34,ACE AMERICAS CASH EXPRESS,5659 Riverdale Rd,Atlanta,GA,30349,"5659 Riverdale Rd,Atlanta,GA,30349 ",33.6005761,-84.4295712
35,ACE CASH EXPRESS,4058 Peachtree Rd Ne,Atlanta,GA,30319,"4058 Peachtree Rd Ne,Atlanta,GA,30319 ",33.8614009,-84.3399074
36,ACE CASH EXPRESS,2841 Greenbriar Pkwy Sw,Atlanta,GA,30331,"2841 Greenbriar Pkwy Sw,Atlanta,GA,30331 ",33.6877868,-84.4934528
37,ACE CASH EXPRESS,3583 Martin Luther King Jr Dr,Atlanta,GA,30331,"3583 Martin Luther King Jr Dr,Atlanta,GA,30331 ",33.7601668,-84.5042537
38,ACE CASH EXPRESS,2798 Camp Creek Pkwy,Atlanta,GA,30337,"2798 Camp Creek Pkwy,Atlanta,GA,30337 ",33.651754,-84.4808001
39,Ace Cash Express Inc,3714 Roswell Rd Ne Ste A,Atlanta,GA,30342,"3714 Roswell Rd Ne Ste A,Atlanta,GA,30342 ",33.8567894,-84.3824264
40,Ace Cash Express Inc,1618 Willingham Dr,Atlanta,GA,30344,"1618 Willingham Dr,Atlanta,GA,30344 ",33.6695677,-84.4419576
41,Ace Cash Express Inc,381 Moreland Ave Se,Atlanta,GA,30316,"381 Moreland Ave Se,Atlanta,GA,30316 ",33.743596,-84.3495651
42,Ace Cash Express Inc,5190 Old National Hwy,Atlanta,GA,30349,"5190 Old National Hwy,Atlanta,GA,30349 ",33.613906,-84.4719447
43,Ace Cash Express Inc,8763 Dunwoody Pl,Atlanta,GA,30350,"8763 Dunwoody Pl,Atlanta,GA,30350 ",33.9966266,-84.3494333
44,Ach Inc,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
45,Advance America,6085 Old National Highway,Atlanta,GA,30349,"6085 Old National Highway,Atlanta,GA,30349 ",33.588499,-84.4694885
46,ADVANCE AMERICA,56 Marietta St Nw,Atlanta,GA,30303,"56 Marietta St Nw,Atlanta,GA,30303 ",33.7554561,-84.3915303
47,Advanced Payment Technologies,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338,"4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338 ",33.921101,-84.3172069
48,Alabama Checkcashers Inc,3304 Buford Hwy Ne Ste A,Atlanta,GA,30329,"3304 Buford Hwy Ne Ste A,Atlanta,GA,30329 ",33.8430869,-84.3292107
49,All Checks Cashed,801 Jackson Pkwy Nw,Atlanta,GA,30318,"801 Jackson Pkwy Nw,Atlanta,GA,30318 ",33.7767133,-84.4735012
50,All Checks Cashed,495 Moreland Avenue,Atlanta,GA,30316,"495 Moreland Avenue,Atlanta,GA,30316 ",33.7406191,-84.3496675
51,ALL CHECKS CASHED,12 Peachtree St # 2,Atlanta,GA,30303,"12 Peachtree St # 2,Atlanta,GA,30303 ",36.1190954,-86.7317897
52,ALL CHECKS CASHED,801 James Jackson Pkwy Nw,Atlanta,GA,30318,"801 James Jackson Pkwy Nw,Atlanta,GA,30318 ",33.7767133,-84.4735012
53,ALL CHECKS CASHED,876 Cleveland Ave,Atlanta,GA,30344,"876 Cleveland Ave,Atlanta,GA,30344 ",33.6808931,-84.4179185
54,All Checks Cashed - Store 01,585 Memorial Drive Southeast,Atlanta,GA,30312,"585 Memorial Drive Southeast,Atlanta,GA,30312 ",33.7464853,-84.3683892
55,All Checks Cashed 2,10 Northside Dr Nw,Atlanta,GA,30314,"10 Northside Dr Nw,Atlanta,GA,30314 ",33.7549566,-84.4032809
56,All Checks Cashed 6,495 Moreland Ave Se,Atlanta,GA,30316,"495 Moreland Ave Se,Atlanta,GA,30316 ",33.7406191,-84.3496675
57,All Checks Cashed 6,495 Moreland Avenue Southeast,Atlanta,GA,30316,"495 Moreland Avenue Southeast,Atlanta,GA,30316 ",33.7406191,-84.3496675
58,Alliance Business Leasing,2879 North Druid Hills Road Northeast,Atlanta,GA,30329,"2879 North Druid Hills Road Northeast,Atlanta,GA,30329 ",33.8166344,-84.3111576
59,Alliance Merchant Services,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
60,American Check Cashing,12 Peachtree Street Northwest,Atlanta,GA,30303,"12 Peachtree Street Northwest,Atlanta,GA,30303 ",33.7536678,-84.3903326
61,American Check Cashing,906 Cleveland Avenue,Atlanta,GA,30344,"906 Cleveland Avenue,Atlanta,GA,30344 ",33.6811367,-84.4189623
62,American Check Cashing Inc,906 Cleveland Ave,Atlanta,GA,30344,"906 Cleveland Ave,Atlanta,GA,30344 ",33.6811367,-84.4189623
63,American Check Cashing Inc,801 James Jackson Parkway Nortrhwest,Atlanta,GA,30318,"801 James Jackson Parkway Nortrhwest,Atlanta,GA,30318 ",33.7767133,-84.4735012
64,Atlanta Authorized Paymaster Sales & Service,1075 Robin Lane Northeast,Atlanta,GA,30306,"1075 Robin Lane Northeast,Atlanta,GA,30306 ",33.8044158,-84.3525249
65,Atlanta Cash It Here Inc,2100 Campbellton Rd Sw,Atlanta,GA,30311,"2100 Campbellton Rd Sw,Atlanta,GA,30311 ",33.7064186,-84.4568946
