neighborhood,pop2010
"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",2672
"Peachtree Heights East, Peachtree Hills",3736
Peachtree Heights West,4874
"Buckhead Forest, South Tuxedo Park",3372
"Chastain Park, Tuxedo Park",3423
East Chastain Park,2092
Garden Hills,3584
Lindbergh/Morosgo,4604
"Buckhead Village, Peachtree Park",2920
Vine City,2818
"Georgia Tech, Marietta Street Artery",7232
"Castleberry Hill, Downtown",14560
Midtown,16218
Home Park,4706
"Beecher Hills, Florida Heights, Westwood Terrace",2881
"Fort McPherson, Venetian Hills",4084
Sylvan Hills,4632
"Capitol View, Capitol View Manor",2648
"Bush Mountain, Oakland City",3672
Westview,3138
West End,4341
"Ashview Heights, Harris Chiles, Just Us",2072
"Atlanta University Center, The Villages at Castleberry Hill",6729
"Center Hill, Harvel Homes Community",2730
"Dixie Hills, Penelope Neighbors, West Lake",3625
"Brandon, Castlewood, Westminster/Milmar, Woodfield",3516
"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4207
Hammond Park,2702
"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",5972
South River Gardens,2255
Perkerson,2416
"Amal Heights, Betmar LaVilla, High Point, Joyland",2151
English Avenue,3330
"Berkeley Park, Blandtown, Hills Park",3089
Underwood Hills,2287
"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",3757
"Margaret Mitchell, Paces, Pleasant Hill",4061
"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",2662
Cross Creek,2910
"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",3837
"South Atlanta, The Villages at Carver",2808
Lakewood Heights,2157
"Adair Park, Pittsburgh",4880
Mechanicsville,3786
Peoplestown,2658
"Capitol Gateway, Summerhill",2874
"Lakewood, Leila Valley, Norwood Manor, Rebel Valley Forest",3135
Grove Park,5534
"Almond Park, Carey Park",3067
"Bolton, Riverside, Whittier Mill Village",5314
"Carver Hills, Rockdale, Scotts Crossing, West Highlands",3628
"Hunter Hills, Mozley Park",3836
"Bankhead, Washington Park",2924
Knight Park/Howell Station,2639
"Midwest Cascade, Regency Trace",1898
"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",3826
Princeton Lakes,3670
"Ben Hill Forest, Ben Hill Pines, Brentwood, Deerwood, Mellwood, Rue Royal, Tampa Park",2428
Greenbriar,3628
Airport,0
"Ashley Courts, Greenbriar Village, Niskey Cove, Niskey Lake, Sandlewood Estates",2536
"Ben Hill Terrace, Kings Forest, Old Fairburn Village",2719
"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon",3298
Collier Heights,5681
"Atlanta Industrial Park, Bolton Hills, Brookview Heights, Chattahoochee, English Park, Lincoln Homes, Monroe Heights",2083
"Campbellton Road, Fort Valley, Pomona Park",6721
"Audobon Forest, Audobon Forest West, Chalet Woods, Harland Terrace, Peyton Forest, Westhaven",4945
Cascade Avenue/Road,2307
"Baker Hills, Bakers Ferry, Boulder Park, Fairburn Road/Wisteria Lane, Ridgecrest Forest, Wildwood (NPU-H), Wilson Mill Meadows, Wisteria Gardens",4360
"Ben Hill Acres, Briar Glen, Cascade Green, Heritage Valley, Meadowbrook Forest, Mt. Gilead Woods",2056
"Adams Park, Laurens Valley, Southwest",6141
"Fairburn Mays, Mays",4095
"Cascade Heights, East Ardley Road, Green Acres Valley, Green Forest Acres, Horseshoe Community, Magnum Manor, West Manor",2705
Ivan Hill,4996
"Adamsville, Oakcliff",2296
"Atkins Park, Virginia Highland",8475
Piedmont Heights,2834
Morningside/Lenox Park,8307
East Atlanta,5101
"Atlantic Station, Loring Heights",4167
"Ardmore, Brookwood",2771
"Collier Hills, Collier Hills North, Colonial Homes",2605
"Ansley Park, Sherwood Forest",3350
Brookwood Hills,3677
"Old Fourth Ward, Sweet Auburn",12326
"Inman Park, Poncey-Highland",6196
Lindridge/Martin Manor,3914
Pine Hills,8300
North Buckhead,8332
"Buckhead Heights, Lenox, Ridgedale Park",3143
Brookhaven,2335
"East Lake, The Villages at East Lake",4046
Edgewood,4072
"Candler Park, Druid Hills",4742
Kirkwood,5688
Lake Claire,2697
"Chosewood Park, Englewood Manor",3995
Thomasville Heights,2851
"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",3305
"Grant Park, Oakland",6827
Ormewood Park,4053
"Cabbagetown, Reynoldstown",3750
