ein,name,street,city,state,zip,category,description,ntee_code,asset_amt,income_amt,revenue_amt
020567152,Renaissance Affordable Housing Inc,230 John Wesley Dobbs Ave Ne,Atlanta,GA,30303-2429,Housing Shelter,Support NEC,L19,156243,140,140
020567155,Strategic Resource Development Corporation,230 John Wesley Dobbs Ave Ne,Atlanta,GA,30303-2429,Housing Shelter,Single Organization Support,L11,1,485,485
020567158,Westside Affordable Housing Inc,230 John Wesley Dobbs Ave Ne,Atlanta,GA,30303-2429,Housing Shelter,Housing Development,L20,38748838,2726216,2017342
030379598,First Church Community Development Corporation,105 Courtland St Ne,Atlanta,GA,30303-2422,Human Services,Human Services NEC,P99,0,0,0
200178918,Grove Family Charitable Foundation Ltd,225 Peachtree St Ne 1100 S Tower,Atlanta,GA,30303-0000,Philanthropy,Private Grantmaking Foundations,T20,129041,1,
200289833,Armenian Church Of The Apostles Inc,250 Spring St Ste 6W119,Atlanta,GA,30303-1133,Religious,Christianity,X20,,,
020678823,Voices For Georgias Children Inc,100 Edgewood Ave Ne Ste 1580,Atlanta,GA,30303-3029,Human Services,Alliances & Advocacy,P01,659092,996086,922231
134311179,The Correll Family Foundation Inc,191 Peachtree St Ste 4050,Atlanta,GA,30303-1786,Philanthropy,Private Grantmaking Foundations,T20,40631592,29918149,
161639971,Georgia Watch,55 Marietta St Nw Ste 903,Atlanta,GA,30303-2835,Public Social Benefit,Consumer Protection,W90,161839,324862,317862
200478411,Atlanta Family And Crisis Pregnancy Center Inc,100 Edgewood Avenue Ne,Atlanta,GA,30303-3026,Human Services,Children & Youth Services,P30,51463,243793,243793
200858719,Markwalter Family Foundation Inc,555 Argonne Dr Nw,Atlanta,GA,30305-2840,Philanthropy,Private Grantmaking Foundations,T20,52028,216664,
030427706,Hispanic American Center For Economic Development Inc,99 W Paces Ferry Rd Nw Ste 200,Atlanta,GA,30305-1364,Community Capacity Bldg,Small Business Development,S43,41204,87400,87400
200482157,Jjcj Foundation Inc,2 W Wesley Rd Nw Apt 15,Atlanta,GA,30305-3500,Philanthropy,Private Independent Foundations,T22,1053273,297391,
200749384,Terwilliger Family Foundation Inc,3060 Peachtree Rd Nw Ste 830,Atlanta,GA,30305-2240,Philanthropy,Private Grantmaking Foundations,T20,10049,0,
061763582,The Gary E Snyder Foundation Inc,3333 Piedmont Rd Ne Ste 2500,Atlanta,GA,30305-1780,Philanthropy,Private Grantmaking Foundations,T20,211456,96225,
020539739,Faith Journey Missions,825 Highland Ln Ne Apt 1209,Atlanta,GA,30306-4338,Religious,Christianity,X20,0,0,0
061785821,Georgia Alliance Of Therapeutic Servcies For Children & Familes In,690 Courtenay Dr Ne,Atlanta,GA,30306-3421,Community Capacity Bldg,Boards of Trade,S46,0,0,0
134147698,International Conference Of Symphony And Opera Musicians Inc,953 Rosedale Rd Ne,Atlanta,GA,30306-4830,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,653412,204214,204214
020651931,Georgia Partnership For Economic Development Inc,75 5Th St Nw Ste 1200,Atlanta,GA,30308-1020,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,1,34,34
043831203,The Universal House Of Prayer And Training School Inc,532 Rankin St Ne,Atlanta,GA,30308-2812,Religious,Christianity,X20,,,
200265655,David M Hermann Foundation Inc,3325 Piedmont Road 2208,Atlanta,GA,30305-0000,Philanthropy,Private Grantmaking Foundations,T20,215097,58966,
200469131,Atlanta Streetcar Inc,2874 Peachtree Street Suite 2600,Atlanta,GA,30303-0000,Public Social Benefit,Public Transportation Systems,W40,0,0,0
201105296,A E M Family Foundation,1230 Peachtree St Ne Ste 1500,Atlanta,GA,30309-3504,Philanthropy,Private Grantmaking Foundations,T20,9372737,5772194,
200330679,Georgia Association Of Latino Elected Officials Inc,1100 Peachtree St Ne Ste 2800,Atlanta,GA,30309-4528,Public Social Benefit,Leadership Development,W70,11751,74718,74718
201238224,Shepherd Center Foundation Inc,2020 Peachtree Rd Nw,Atlanta,GA,30309-1426,Philanthropy,Public Foundations,T30,3259065,779352,-1891
200748501,Bev And Marc Lewyn Supporting Organization Inc,1440 Spring St Nw,Atlanta,GA,30309-2837,Philanthropy,Public Foundations,T30,227401,3843,3843
