uninumbr,namefull,namebr,addresbr,citybr,stalpbr,zipbr,cntynamb,asset,depdom,depsumbr,bkclass,bkmo,brnum,brsertyp,cert,charter,clcode,regagnt,specdesc
535819,Bank of the Ozarks,Brookhaven Branch,"105 Town Boulevard, Suite A-110",Atlanta,GA,30319,DeKalb,20068595,16241570,23013,NM,0,252,11,00110,State,21,FDIC,Commercial Lending
284047,Bank of the Ozarks,North Marietta Branch,1350 Church St. Ext Suite 100,Marietta,GA,30062,Cobb,20068595,16241570,39436,NM,0,249,11,00110,State,21,FDIC,Commercial Lending
360598,Bank of the Ozarks,Mcdonough Branch,1400 Zack Hinton Pkwy,Mcdonough,GA,30253,Henry,20068595,16241570,35696,NM,0,133,11,00110,State,21,FDIC,Commercial Lending
365935,Bank of the Ozarks,Newnan Downtown Branch,16 E Broad St,Newnan,GA,30263,Coweta,20068595,16241570,14928,NM,0,125,11,00110,State,21,FDIC,Commercial Lending
360514,Bank of the Ozarks,Essex Bank Grayson Branch,2001 Grayson Hwy,Grayson,GA,30017,Gwinnett,20068595,16241570,23328,NM,0,256,11,00110,State,21,FDIC,Commercial Lending
238162,Bank of the Ozarks,Snellville Branch,2238 Main St E,Snellville,GA,30078,Gwinnett,20068595,16241570,38039,NM,0,255,11,00110,State,21,FDIC,Commercial Lending
495009,Bank of the Ozarks,Riverwood Parkway Branch,"3333 Riverwood Parkway Southeast, Suite 100",Atlanta,GA,30339,Cobb,20068595,16241570,156715,NM,0,227,11,00110,State,21,FDIC,Commercial Lending
428075,Bank of the Ozarks,Buford Branch,"3350 Buford Drive, Suite A100",Buford,GA,30519,Gwinnett,20068595,16241570,23127,NM,0,248,11,00110,State,21,FDIC,Commercial Lending
238375,Bank of the Ozarks,Sharpsburg Branch,6548 Highway 54,Sharpsburg,GA,30277,Coweta,20068595,16241570,17037,NM,0,124,11,00110,State,21,FDIC,Commercial Lending
465226,Bank of the Ozarks,Senoia Branch,8180 East Highway 16,Senoia,GA,30276,Coweta,20068595,16241570,38043,NM,0,128,11,00110,State,21,FDIC,Commercial Lending
526384,Bank of the Ozarks,Roswell Branch,900 Woodstock Road,Roswell,GA,30075,Fulton,20068595,16241570,10422,NM,0,247,11,00110,State,21,FDIC,Commercial Lending
465204,Bank of the Ozarks,Douglasville Hospital Drive Office Branch,9001 Hospital Drive,Douglasville,GA,30134,Douglas,20068595,16241570,20741,NM,0,127,12,00110,State,21,FDIC,Commercial Lending
453062,Bank of the Ozarks,Chapel Hill Branch,9360 The Landing Drive,Douglasville,GA,30135,Douglas,20068595,16241570,70091,NM,0,229,11,00110,State,21,FDIC,Commercial Lending
493225,First National Bank of Griffin,Heron Bay Branch,3470 Highway 155s,Locust Grove,GA,30248,Henry,260405,235015,10638,N,0,10,11,00169,Fed,3,OCC,Commercial Lending
181292,First National Bank of Griffin,Hampton Branch,996 Bear Creek Boulevard,Hampton,GA,30228,Henry,260405,235015,31998,N,0,6,11,00169,Fed,3,OCC,Commercial Lending
418519,United Bank,Locust Grove Ingles Branch,4908 Bill Gardner Parkway,Locust Grove,GA,30248,Henry,1308058,1172088,11052,NM,0,16,12,00172,State,21,FDIC,Commercial Lending
420282,United Bank,First Coweta Bank Branch,61 Bullsboro Drive,Newnan,GA,30263,Coweta,1308058,1172088,80974,NM,0,19,11,00172,State,21,FDIC,Commercial Lending
516680,Talbot State Bank,Fayetteville Branch,710 North Glynn Street,Fayetteville,GA,30214,Fayette,66993,61182,49679,NM,0,6,11,00178,State,21,FDIC,All Other < $1 Billion
580376,"JPMorgan Chase Bank, National Association",Mcginnis Crossing Branch,1052 Peachtree Undustrial Blvd Ste 2,Suwanee,GA,30024,Gwinnett,2152006000,1270117000,21432,N,0,7987,11,00628,Fed,3,OCC,International
423191,"JPMorgan Chase Bank, National Association",Marietta - Piedmont Commons Branch,1060 E Piedmont Rd,Marietta,GA,30062,Cobb,2152006000,1270117000,63624,N,0,5500,11,00628,Fed,3,OCC,International
521764,"JPMorgan Chase Bank, National Association",Johnson Ferry And Woodlawn Dr Branch,1088 Johnson Ferry Rd,Marietta,GA,30068,Cobb,2152006000,1270117000,60220,N,0,7337,11,00628,Fed,3,OCC,International
530036,"JPMorgan Chase Bank, National Association",Bullsboro And Newnan Crossing Banking Center Branch,1175 Bullsboro Drive,Newnan,GA,30265,Coweta,2152006000,1270117000,34433,N,0,7486,11,00628,Fed,3,OCC,International
365997,"JPMorgan Chase Bank, National Association",Roswell Corner Branch,1175 Woodstock Rd,Roswell,GA,30075,Fulton,2152006000,1270117000,56741,N,0,5452,11,00628,Fed,3,OCC,International
522282,"JPMorgan Chase Bank, National Association",Old Milton Parkway And Haynes Bridge Road Branch,11798 Haynes Bridge Road,Alpharetta,GA,30009,Fulton,2152006000,1270117000,32469,N,0,7367,11,00628,Fed,3,OCC,International
494510,"JPMorgan Chase Bank, National Association",Edgewood Branch,"1215 Caroline St Ne, Bldg H",Atlanta,GA,30307,DeKalb,2152006000,1270117000,54767,N,0,6897,11,00628,Fed,3,OCC,International
494516,"JPMorgan Chase Bank, National Association",Barrett Creek Branch,"125 Barrett Pkwy Nw, Ste 201",Marietta,GA,30066,Cobb,2152006000,1270117000,51514,N,0,6903,11,00628,Fed,3,OCC,International
365986,"JPMorgan Chase Bank, National Association",Indian Trail Branch,"1250 Tech Drive, Suite 400",Norcross,GA,30093,Gwinnett,2152006000,1270117000,33705,N,0,5448,11,00628,Fed,3,OCC,International
521761,"JPMorgan Chase Bank, National Association",Holcomb Bridge And Old Alabama Branch,1475-B Holcomb Bridge Rd,Roswell,GA,30076,Fulton,2152006000,1270117000,36311,N,0,7334,11,00628,Fed,3,OCC,International
521765,"JPMorgan Chase Bank, National Association",Ridge And Hwy 20 Branch,1495 Buford Dr,Lawrenceville,GA,30043,Gwinnett,2152006000,1270117000,32417,N,0,7338,11,00628,Fed,3,OCC,International
521776,"JPMorgan Chase Bank, National Association",Powder Springs And Macland Branch,1740 Powder Springs Rd Sw,Marietta,GA,30064,Cobb,2152006000,1270117000,45166,N,0,7349,11,00628,Fed,3,OCC,International
494525,"JPMorgan Chase Bank, National Association",Snellville Scenic And Pharrs Branch,1875 Scenic Hwy N,Snellville,GA,30078,Gwinnett,2152006000,1270117000,53656,N,0,6912,11,00628,Fed,3,OCC,International
531802,"JPMorgan Chase Bank, National Association",Howell Mill& Collier Banking Center,"2002 Howell Mill Road, Nw",Atlanta,GA,30318,Fulton,2152006000,1270117000,103323,N,0,7509,11,00628,Fed,3,OCC,International
494518,"JPMorgan Chase Bank, National Association",Morrow Southlake Branch,2015 Mount Zion Rd,Morrow,GA,30260,Clayton,2152006000,1270117000,23365,N,0,6905,11,00628,Fed,3,OCC,International
365966,"JPMorgan Chase Bank, National Association",Hairston Crossing Branch,"2079 S Hairston Road, Suite F",Decatur,GA,30035,DeKalb,2152006000,1270117000,27962,N,0,5439,11,00628,Fed,3,OCC,International
